Date,Indicator
1/1/2010,1
1/15/2010,1
2/12/2010,1
3/1/2010,1
3/26/2010,1
3/27/2010,1
3/28/2010,1
3/29/2010,1
3/30/2010,1
3/31/2010,1
4/1/2010,1
4/2/2010,1
4/5/2010,1
4/16/2010,1
5/31/2010,1
6/22/2010,1
6/23/2010,1
6/24/2010,1
6/25/2010,1
6/26/2010,1
6/27/2010,1
6/28/2010,1
6/29/2010,1
6/30/2010,1
7/1/2010,1
7/2/2010,1
7/3/2010,1
7/4/2010,1
7/5/2010,1
7/6/2010,1
7/7/2010,1
7/8/2010,1
7/9/2010,1
7/10/2010,1
7/11/2010,1
7/12/2010,1
7/13/2010,1
7/14/2010,1
7/15/2010,1
7/16/2010,1
7/17/2010,1
7/18/2010,1
7/19/2010,1
7/20/2010,1
7/21/2010,1
7/22/2010,1
7/23/2010,1
7/24/2010,1
7/25/2010,1
7/26/2010,1
7/27/2010,1
7/28/2010,1
7/29/2010,1
7/30/2010,1
7/31/2010,1
8/1/2010,1
8/2/2010,1
8/3/2010,1
8/4/2010,1
8/5/2010,1
8/6/2010,1
8/7/2010,1
8/8/2010,1
8/9/2010,1
8/10/2010,1
8/11/2010,1
8/12/2010,1
8/13/2010,1
8/14/2010,1
8/15/2010,1
8/16/2010,1
8/17/2010,1
8/18/2010,1
8/19/2010,1
8/20/2010,1
8/21/2010,1
8/22/2010,1
8/23/2010,1
8/24/2010,1
9/17/2010,1
10/18/2010,1
10/29/2010,1
12/20/2010,1
12/21/2010,1
12/22/2010,1
12/23/2010,1
12/24/2010,1
12/25/2010,1
12/26/2010,1
12/27/2010,1
12/28/2010,1
12/29/2010,1
12/30/2010,1
12/31/2010,1
1/14/2011,1
2/18/2011,1
2/28/2011,1
3/18/2011,1
4/15/2011,1
4/16/2011,1
4/17/2011,1
4/18/2011,1
4/19/2011,1
4/20/2011,1
4/21/2011,1
4/22/2011,1
4/23/2011,1
4/24/2011,1
4/25/2011,1
5/16/2011,1
6/17/2011,1
6/18/2011,1
6/19/2011,1
6/20/2011,1
6/21/2011,1
6/22/2011,1
6/23/2011,1
6/24/2011,1
6/25/2011,1
6/26/2011,1
6/27/2011,1
6/28/2011,1
6/29/2011,1
6/30/2011,1
7/1/2011,1
7/2/2011,1
7/3/2011,1
7/4/2011,1
7/5/2011,1
7/6/2011,1
7/7/2011,1
7/8/2011,1
7/9/2011,1
7/10/2011,1
7/11/2011,1
7/12/2011,1
7/13/2011,1
7/14/2011,1
7/15/2011,1
7/16/2011,1
7/17/2011,1
7/18/2011,1
7/19/2011,1
7/20/2011,1
7/21/2011,1
7/22/2011,1
7/23/2011,1
7/24/2011,1
7/25/2011,1
7/26/2011,1
7/27/2011,1
7/28/2011,1
7/29/2011,1
7/30/2011,1
7/31/2011,1
8/1/2011,1
8/2/2011,1
8/3/2011,1
8/4/2011,1
8/5/2011,1
8/6/2011,1
8/7/2011,1
8/8/2011,1
8/9/2011,1
8/10/2011,1
8/11/2011,1
8/12/2011,1
8/13/2011,1
8/14/2011,1
8/15/2011,1
8/16/2011,1
8/17/2011,1
8/18/2011,1
8/19/2011,1
8/20/2011,1
8/21/2011,1
8/22/2011,1
10/14/2011,1
10/17/2011,1
12/2/2011,1
12/22/2011,1
12/23/2011,1
12/24/2011,1
12/25/2011,1
12/26/2011,1
12/27/2011,1
12/28/2011,1
12/29/2011,1
12/30/2011,1
12/31/2011,1
1/1/2012,1
1/2/2012,1
2/3/2012,1
2/6/2012,1
3/23/2012,1
4/2/2012,1
4/3/2012,1
4/4/2012,1
4/5/2012,1
4/6/2012,1
4/7/2012,1
4/8/2012,1
4/9/2012,1
4/16/2012,1
5/21/2012,1
6/14/2012,1
6/15/2012,1
6/16/2012,1
6/17/2012,1
6/18/2012,1
6/19/2012,1
6/20/2012,1
6/21/2012,1
6/22/2012,1
6/23/2012,1
6/24/2012,1
6/25/2012,1
6/26/2012,1
6/27/2012,1
6/28/2012,1
6/29/2012,1
6/30/2012,1
7/1/2012,1
7/2/2012,1
7/3/2012,1
7/4/2012,1
7/5/2012,1
7/6/2012,1
7/7/2012,1
7/8/2012,1
7/9/2012,1
7/10/2012,1
7/11/2012,1
7/12/2012,1
7/13/2012,1
7/14/2012,1
7/15/2012,1
7/16/2012,1
7/17/2012,1
7/18/2012,1
7/19/2012,1
7/20/2012,1
7/21/2012,1
7/22/2012,1
7/23/2012,1
7/24/2012,1
7/25/2012,1
7/26/2012,1
7/27/2012,1
7/28/2012,1
7/29/2012,1
7/30/2012,1
7/31/2012,1
8/1/2012,1
8/2/2012,1
8/3/2012,1
8/4/2012,1
8/5/2012,1
8/6/2012,1
8/7/2012,1
8/8/2012,1
8/9/2012,1
8/10/2012,1
8/11/2012,1
8/12/2012,1
8/13/2012,1
8/14/2012,1
8/15/2012,1
8/16/2012,1
8/17/2012,1
8/18/2012,1
8/19/2012,1
8/20/2012,1
8/21/2012,1
8/22/2012,1
8/23/2012,1
8/24/2012,1
8/25/2012,1
8/26/2012,1
10/19/2012,1
10/22/2012,1
12/14/2012,1
12/24/2012,1
12/25/2012,1
12/26/2012,1
12/27/2012,1
12/28/2012,1
12/29/2012,1
12/30/2012,1
12/31/2012,1
1/1/2013,1
1/2/2013,1
1/3/2013,1
1/4/2013,1
2/15/2013,1
2/25/2013,1
4/1/2013,1
4/2/2013,1
4/3/2013,1
4/4/2013,1
4/5/2013,1
4/15/2013,1
4/16/2013,1
6/3/2013,1
6/21/2013,1
6/22/2013,1
6/23/2013,1
6/24/2013,1
6/25/2013,1
6/26/2013,1
6/27/2013,1
6/28/2013,1
6/29/2013,1
6/30/2013,1
7/1/2013,1
7/2/2013,1
7/3/2013,1
7/4/2013,1
7/5/2013,1
7/6/2013,1
7/7/2013,1
7/8/2013,1
7/9/2013,1
7/10/2013,1
7/11/2013,1
7/12/2013,1
7/13/2013,1
7/14/2013,1
7/15/2013,1
7/16/2013,1
7/17/2013,1
7/18/2013,1
7/19/2013,1
7/20/2013,1
7/21/2013,1
7/22/2013,1
7/23/2013,1
7/24/2013,1
7/25/2013,1
7/26/2013,1
7/27/2013,1
7/28/2013,1
7/29/2013,1
7/30/2013,1
7/31/2013,1
8/1/2013,1
8/2/2013,1
8/3/2013,1
8/4/2013,1
8/5/2013,1
8/6/2013,1
8/7/2013,1
8/8/2013,1
8/9/2013,1
8/10/2013,1
8/11/2013,1
8/12/2013,1
8/13/2013,1
8/14/2013,1
8/15/2013,1
8/16/2013,1
8/17/2013,1
8/18/2013,1
8/19/2013,1
8/20/2013,1
8/21/2013,1
8/22/2013,1
8/23/2013,1
8/24/2013,1
8/25/2013,1
10/18/2013,1
10/21/2013,1
12/23/2013,1
12/24/2013,1
12/25/2013,1
12/26/2013,1
12/27/2013,1
12/28/2013,1
12/29/2013,1
12/30/2013,1
12/31/2013,1
1/1/2014,1
1/2/2014,1
1/3/2014,1
1/6/2014,1
2/14/2014,1
2/24/2014,1
4/14/2014,1
4/15/2014,1
4/16/2014,1
4/17/2014,1
4/18/2014,1
4/19/2014,1
4/20/2014,1
4/21/2014,1
5/2/2014,1
6/2/2014,1
6/20/2014,1
6/21/2014,1
6/22/2014,1
6/23/2014,1
6/24/2014,1
6/25/2014,1
6/26/2014,1
6/27/2014,1
6/28/2014,1
6/29/2014,1
6/30/2014,1
7/1/2014,1
7/2/2014,1
7/3/2014,1
7/4/2014,1
7/5/2014,1
7/6/2014,1
7/7/2014,1
7/8/2014,1
7/9/2014,1
7/10/2014,1
7/11/2014,1
7/12/2014,1
7/13/2014,1
7/14/2014,1
7/15/2014,1
7/16/2014,1
7/17/2014,1
7/18/2014,1
7/19/2014,1
7/20/2014,1
7/21/2014,1
7/22/2014,1
7/23/2014,1
7/24/2014,1
7/25/2014,1
7/26/2014,1
7/27/2014,1
7/28/2014,1
7/29/2014,1
7/30/2014,1
7/31/2014,1
8/1/2014,1
8/2/2014,1
8/3/2014,1
8/4/2014,1
8/5/2014,1
8/6/2014,1
8/7/2014,1
8/8/2014,1
8/9/2014,1
8/10/2014,1
8/11/2014,1
8/12/2014,1
8/13/2014,1
8/14/2014,1
8/15/2014,1
8/16/2014,1
8/17/2014,1
8/18/2014,1
8/19/2014,1
8/20/2014,1
8/21/2014,1
8/22/2014,1
8/23/2014,1
8/24/2014,1
10/20/2014,1
11/10/2014,1
12/22/2014,1
12/23/2014,1
12/24/2014,1
12/25/2014,1
12/26/2014,1
12/27/2014,1
12/28/2014,1
12/29/2014,1
12/30/2014,1
12/31/2014,1
1/1/2015,1
1/2/2015,1
2/13/2015,1
2/17/2015,1
2/23/2015,1
3/5/2015,1
3/6/2015,1
4/14/2015,1
4/15/2015,1
4/16/2015,1
4/17/2015,1
5/1/2015,1
6/19/2015,1
8/21/2015,1
10/9/2015,1
10/19/2015,1
12/4/2015,1
12/21/2015,1
12/22/2015,1
12/23/2015,1
12/24/2015,1
12/25/2015,1
12/26/2015,1
12/27/2015,1
12/28/2015,1
12/29/2015,1
12/30/2015,1
12/31/2015,1
1/1/2016,1
2/12/2016,1
2/22/2016,1
3/28/2016,1
3/29/2016,1
3/30/2016,1
3/31/2016,1
4/1/2016,1
5/6/2016,1
5/23/2016,1
6/16/2016,1
8/19/2016,1
9/30/2016,1
11/25/2016,1
12/2/2016,1
12/22/2016,1
12/23/2016,1
12/24/2016,1
12/25/2016,1
12/26/2016,1
12/27/2016,1
12/28/2016,1
12/29/2016,1
12/30/2016,1
2/17/2017,1
4/18/2017,1
4/19/2017,1
4/20/2017,1
4/21/2017,1
6/15/2017,1
6/16/2017,1
6/17/2017,1
6/18/2017,1
6/19/2017,1
6/20/2017,1
6/21/2017,1
6/22/2017,1
6/23/2017,1
6/24/2017,1
6/25/2017,1
6/26/2017,1
6/27/2017,1
6/28/2017,1
6/29/2017,1
6/30/2017,1
7/1/2017,1
7/2/2017,1
7/3/2017,1
7/4/2017,1
7/5/2017,1
7/6/2017,1
7/7/2017,1
7/8/2017,1
7/9/2017,1
7/10/2017,1
7/11/2017,1
7/12/2017,1
7/13/2017,1
7/14/2017,1
7/15/2017,1
7/16/2017,1
7/17/2017,1
7/18/2017,1
7/19/2017,1
7/20/2017,1
7/21/2017,1
7/22/2017,1
7/23/2017,1
7/24/2017,1
7/25/2017,1
7/26/2017,1
7/27/2017,1
7/28/2017,1
7/29/2017,1
7/30/2017,1
7/31/2017,1
8/1/2017,1
8/2/2017,1
8/3/2017,1
8/4/2017,1
8/5/2017,1
8/6/2017,1
8/7/2017,1
8/8/2017,1
8/9/2017,1
8/10/2017,1
8/11/2017,1
9/22/2017,1
11/24/2017,1
12/1/2017,1
12/22/2017,1
12/23/2017,1
12/24/2017,1
12/25/2017,1
12/26/2017,1
12/27/2017,1
12/28/2017,1
12/29/2017,1
12/30/2017,1
12/31/2017,1
1/1/2018,1
1/2/2018,1
2/16/2018,1
3/26/2018,1
3/27/2018,1
3/28/2018,1
3/29/2018,1
3/30/2018,1
5/24/2018,1
6/18/2018,1
6/19/2018,1
6/20/2018,1
6/21/2018,1
6/22/2018,1
6/23/2018,1
6/24/2018,1
6/25/2018,1
6/26/2018,1
6/27/2018,1
6/28/2018,1
6/29/2018,1
6/30/2018,1
7/1/2018,1
7/2/2018,1
7/3/2018,1
7/4/2018,1
7/5/2018,1
7/6/2018,1
7/7/2018,1
7/8/2018,1
7/9/2018,1
7/10/2018,1
7/11/2018,1
7/12/2018,1
7/13/2018,1
7/14/2018,1
7/15/2018,1
7/16/2018,1
7/17/2018,1
7/18/2018,1
7/19/2018,1
7/20/2018,1
7/21/2018,1
7/22/2018,1
7/23/2018,1
7/24/2018,1
7/25/2018,1
7/26/2018,1
7/27/2018,1
7/28/2018,1
7/29/2018,1
7/30/2018,1
7/31/2018,1
8/1/2018,1
8/2/2018,1
8/3/2018,1
8/4/2018,1
8/5/2018,1
8/6/2018,1
8/7/2018,1
8/8/2018,1
8/9/2018,1
8/10/2018,1
10/25/2018,1
10/26/2018,1
11/21/2018,1
11/23/2018,1
12/24/2018,1
12/25/2018,1
12/26/2018,1
12/27/2018,1
12/28/2018,1
12/29/2018,1
12/30/2018,1
12/31/2018,1
